REF_DATE,GEO,Institution type,Registration status,International Standard Classification of Education (ISCED),Field of study,Gender,Status of student in Canada,VALUE
2018/2019,Newfoundland and Labrador,University,Full-time student,Bachelor's or equivalent,Education [1],Male gender,Canadian students,129
2018/2019,Newfoundland and Labrador,University,Full-time student,Bachelor's or equivalent,Education [1],Male gender,International students,3
2018/2019,Newfoundland and Labrador,University,Full-time student,Bachelor's or equivalent,Education [1],Female gender,Canadian students,243
2018/2019,Newfoundland and Labrador,University,Full-time student,Bachelor's or equivalent,Education [1],Female gender,International students,3
2018/2019,Newfoundland and Labrador,University,Full-time student,Bachelor's or equivalent,Education [1],Gender unknown,Canadian students,3
2018/2019,Newfoundland and Labrador,University,Full-time student,Bachelor's or equivalent,Visual and performing arts and communications technologies [2],Male gender,Canadian students,84
2018/2019,Newfoundland and Labrador,University,Full-time student,Bachelor's or equivalent,Visual and performing arts and communications technologies [2],Male gender,International students,9
2018/2019,Newfoundland and Labrador,University,Full-time student,Bachelor's or equivalent,Visual and performing arts and communications technologies [2],Female gender,Canadian students,165
2018/2019,Newfoundland and Labrador,University,Full-time student,Bachelor's or equivalent,Visual and performing arts and communications technologies [2],Female gender,International students,12
2018/2019,Newfoundland and Labrador,University,Full-time student,Bachelor's or equivalent,Visual and performing arts and communications technologies [2],Gender unknown,Canadian students,3
2018/2019,Newfoundland and Labrador,University,Full-time student,Bachelor's or equivalent,Humanities [3],Male gender,Canadian students,297
2018/2019,Newfoundland and Labrador,University,Full-time student,Bachelor's or equivalent,Humanities [3],Male gender,International students,21
2018/2019,Newfoundland and Labrador,University,Full-time student,Bachelor's or equivalent,Humanities [3],Female gender,Canadian students,654
2018/2019,Newfoundland and Labrador,University,Full-time student,Bachelor's or equivalent,Humanities [3],Female gender,International students,21
2018/2019,Newfoundland and Labrador,University,Full-time student,Bachelor's or equivalent,Humanities [3],Gender unknown,Canadian students,15
2018/2019,Newfoundland and Labrador,University,Full-time student,Bachelor's or equivalent,Social and behavioural sciences and law [4],Male gender,Canadian students,330
2018/2019,Newfoundland and Labrador,University,Full-time student,Bachelor's or equivalent,Social and behavioural sciences and law [4],Male gender,International students,51
2018/2019,Newfoundland and Labrador,University,Full-time student,Bachelor's or equivalent,Social and behavioural sciences and law [4],Female gender,Canadian students,873
2018/2019,Newfoundland and Labrador,University,Full-time student,Bachelor's or equivalent,Social and behavioural sciences and law [4],Female gender,International students,81
2018/2019,Newfoundland and Labrador,University,Full-time student,Bachelor's or equivalent,Social and behavioural sciences and law [4],Gender unknown,Canadian students,15
2018/2019,Newfoundland and Labrador,University,Full-time student,Bachelor's or equivalent,"Business, management and public administration [5]",Male gender,Canadian students,717
2018/2019,Newfoundland and Labrador,University,Full-time student,Bachelor's or equivalent,"Business, management and public administration [5]",Male gender,International students,249
2018/2019,Newfoundland and Labrador,University,Full-time student,Bachelor's or equivalent,"Business, management and public administration [5]",Female gender,Canadian students,888
2018/2019,Newfoundland and Labrador,University,Full-time student,Bachelor's or equivalent,"Business, management and public administration [5]",Female gender,International students,153
2018/2019,Newfoundland and Labrador,University,Full-time student,Bachelor's or equivalent,"Business, management and public administration [5]",Gender unknown,Canadian students,9
2018/2019,Newfoundland and Labrador,University,Full-time student,Bachelor's or equivalent,Physical and life sciences and technologies [6],Male gender,Canadian students,735
2018/2019,Newfoundland and Labrador,University,Full-time student,Bachelor's or equivalent,Physical and life sciences and technologies [6],Male gender,International students,270
2018/2019,Newfoundland and Labrador,University,Full-time student,Bachelor's or equivalent,Physical and life sciences and technologies [6],Female gender,Canadian students,1068
2018/2019,Newfoundland and Labrador,University,Full-time student,Bachelor's or equivalent,Physical and life sciences and technologies [6],Female gender,International students,150
2018/2019,Newfoundland and Labrador,University,Full-time student,Bachelor's or equivalent,Physical and life sciences and technologies [6],Gender unknown,Canadian students,9
2018/2019,Newfoundland and Labrador,University,Full-time student,Bachelor's or equivalent,"Mathematics, computer and information sciences [7]",Male gender,Canadian students,132
2018/2019,Newfoundland and Labrador,University,Full-time student,Bachelor's or equivalent,"Mathematics, computer and information sciences [7]",Male gender,International students,75
2018/2019,Newfoundland and Labrador,University,Full-time student,Bachelor's or equivalent,"Mathematics, computer and information sciences [7]",Female gender,Canadian students,54
2018/2019,Newfoundland and Labrador,University,Full-time student,Bachelor's or equivalent,"Mathematics, computer and information sciences [7]",Female gender,International students,27
2018/2019,Newfoundland and Labrador,University,Full-time student,Bachelor's or equivalent,"Architecture, engineering and related technologies [8]",Male gender,Canadian students,756
2018/2019,Newfoundland and Labrador,University,Full-time student,Bachelor's or equivalent,"Architecture, engineering and related technologies [8]",Male gender,International students,249
2018/2019,Newfoundland and Labrador,University,Full-time student,Bachelor's or equivalent,"Architecture, engineering and related technologies [8]",Female gender,Canadian students,297
2018/2019,Newfoundland and Labrador,University,Full-time student,Bachelor's or equivalent,"Architecture, engineering and related technologies [8]",Female gender,International students,63
2018/2019,Newfoundland and Labrador,University,Full-time student,Bachelor's or equivalent,"Agriculture, natural resources and conservation [9]",Male gender,Canadian students,27
2018/2019,Newfoundland and Labrador,University,Full-time student,Bachelor's or equivalent,"Agriculture, natural resources and conservation [9]",Male gender,International students,0
